"","Specimen_Number","Collection","Lot_Number","Collector","Ecoregion","County","Coastal_Proximity","Location","Site","SoCal_Group","Island_Size","Latitude","Longitude","Epoch","Formation","Decade","Year","Season","Month","Mean_SST","Mean_SST_Sdev","Length_mm","Width_mm","Geometric_Mean","Globosity_WoverL","Aperture_mm","Thickness_mm","Habitat","Depth","BRY","BAR","LMP","TWS","COR","ALG","SCR","BOR_TAP","BOR_STR","BOR_INC","mean_pvolc3","sd_pvolc3","zooplankton_n_points_used","zooplankton_mean_distance","fish_total_catch_wt_kg","fish_cpue_kg_per_ha_der","sd_total_catch_wt_kg","sd_cpue_kg_per_ha_der","fish_n_points_used","fish_mean_distance","Population_Density","Population_Density_NoBaja","MPA","Image_url","Specimens_per_Lot"
"214",546,"LACM-M","57-17.5","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Point Vincente","Los Angeles",NA,33.74,-118.39,"Anthropocene",NA,1950,1957,"Winter",1,16.84203339,1.877503874,12.91,7.26,9.68,0.56,2.02,0.19,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,497.3047337,902.7994701,338,3.151901961,NA,NA,NA,NA,NA,NA,8.762020111,8.762020111,"no",NA,6
"215",547,"LACM-M","57-17.5","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Point Vincente","Los Angeles",NA,33.74,-118.39,"Anthropocene",NA,1950,1957,"Winter",1,16.84203339,1.877503874,13.51,7.62,10.15,0.56,2.13,0.16,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,497.3047337,902.7994701,338,3.151901961,NA,NA,NA,NA,NA,NA,8.762020111,8.762020111,"no",NA,6
"216",548,"LACM-M","57-17.5","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Point Vincente","Los Angeles",NA,33.74,-118.39,"Anthropocene",NA,1950,1957,"Winter",1,16.84203339,1.877503874,13.91,7.86,10.46,0.57,2.19,0.21,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,497.3047337,902.7994701,338,3.151901961,NA,NA,NA,NA,NA,NA,8.762020111,8.762020111,"no",NA,6
"217",549,"LACM-M","57-17.5","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Point Vincente","Los Angeles",NA,33.74,-118.39,"Anthropocene",NA,1950,1957,"Winter",1,16.84203339,1.877503874,14.24,8.61,11.07,0.61,2.58,0.3,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,497.3047337,902.7994701,338,3.151901961,NA,NA,NA,NA,NA,NA,8.762020111,8.762020111,"no",NA,6
"218",550,"LACM-M","57-17.5","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Point Vincente","Los Angeles",NA,33.74,-118.39,"Anthropocene",NA,1950,1957,"Winter",1,16.84203339,1.877503874,17.29,9.47,12.8,0.55,2.65,0.22,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,497.3047337,902.7994701,338,3.151901961,NA,NA,NA,NA,NA,NA,8.762020111,8.762020111,"no",NA,6
"219",551,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,11.83,6.83,8.99,0.58,1.73,0.28,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"220",552,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,12.14,7.31,9.42,0.6,1.95,0.22,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"221",553,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,16.11,8.69,11.83,0.54,2.14,0.41,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"222",554,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,15.55,8.65,11.6,0.56,2.17,0.17,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"223",555,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,17.48,9.43,12.84,0.54,2.53,0.29,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"224",556,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,19.29,11.16,14.67,0.58,2.77,0.46,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"225",557,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,20.65,11.53,15.43,0.56,2.83,0.43,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"226",558,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,19.89,10.65,14.55,0.54,2.94,0.25,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"227",559,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,19.31,11.31,14.78,0.59,3.11,0.36,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"228",560,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,19.87,11.37,15.03,0.57,3.13,0.37,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"229",561,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,24.39,13.41,18.09,0.55,3.32,0.53,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"230",562,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,22.63,12.22,16.63,0.54,3.33,0.23,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"231",563,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,24.6,13.99,18.55,0.57,3.44,0.35,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"232",564,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,24.42,14.02,18.5,0.57,3.54,0.54,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"233",565,"LACM-M","57-92.4","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.72,-118.35,"Anthropocene",NA,1950,1957,"Spring",4,16.84203339,1.877503874,27.04,14.64,19.9,0.54,3.63,0.21,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.276226014,0.276226014,"no",NA,15
"234",566,"LACM-M","105150","Rogers","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1957,"Summer",8,16.84203339,1.877503874,14.63,8.72,11.29,0.6,1.9,0.44,NA,NA,0,0,0,0,0,0,0,0,0,0,186.6518771,446.1553962,586,4.030890572,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,10
"235",567,"LACM-M","105150","Rogers","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1957,"Summer",8,16.84203339,1.877503874,16.75,9.95,12.91,0.59,1.98,0.48,NA,NA,0,0,0,0,0,0,0,0,0,0,186.6518771,446.1553962,586,4.030890572,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,10
"236",568,"LACM-M","105150","Rogers","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1957,"Summer",8,16.84203339,1.877503874,15.79,9.32,12.13,0.59,2.14,0.42,NA,NA,0,0,0,0,0,0,0,0,0,0,186.6518771,446.1553962,586,4.030890572,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,10
"237",569,"LACM-M","105150","Rogers","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1957,"Summer",8,16.84203339,1.877503874,17.12,9.78,12.94,0.57,2.21,0.39,NA,NA,0,0,0,0,0,0,0,0,0,0,186.6518771,446.1553962,586,4.030890572,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,10
"238",570,"LACM-M","105150","Rogers","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1957,"Summer",8,16.84203339,1.877503874,19.39,11.38,14.85,0.59,2.33,0.39,NA,NA,0,0,0,0,0,0,0,0,0,0,186.6518771,446.1553962,586,4.030890572,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,10
"239",571,"LACM-M","105150","Rogers","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1957,"Summer",8,16.84203339,1.877503874,18.73,10.65,14.12,0.57,2.47,0.37,NA,NA,0,0,0,0,0,0,0,0,0,0,186.6518771,446.1553962,586,4.030890572,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,10
"240",572,"LACM-M","105150","Rogers","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1957,"Summer",8,16.84203339,1.877503874,18.92,11.02,14.44,0.58,2.52,0.39,NA,NA,0,0,0,0,0,0,0,0,0,0,186.6518771,446.1553962,586,4.030890572,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,10
"241",573,"LACM-M","105150","Rogers","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1957,"Summer",8,16.84203339,1.877503874,18.78,10.91,14.31,0.58,2.7,0.41,NA,NA,0,0,0,0,0,0,0,0,0,0,186.6518771,446.1553962,586,4.030890572,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,10
"242",574,"LACM-M","105150","Rogers","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1957,"Summer",8,16.84203339,1.877503874,19.13,11.57,14.88,0.61,2.71,0.47,NA,NA,0,0,0,0,0,0,0,0,0,0,186.6518771,446.1553962,586,4.030890572,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,10
"243",575,"LACM-M","105150","Rogers","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1957,"Summer",8,16.84203339,1.877503874,20.33,11.94,15.58,0.59,2.94,0.47,NA,NA,0,0,0,0,0,0,0,0,0,0,186.6518771,446.1553962,586,4.030890572,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,10
"244",576,"LACM-M","58-2.3","McIntyre","Southern California Bight","Los Angeles","Off Shore","LA","Palos Verdes: South of","Los Angeles",NA,33.73,-118.4,"Anthropocene",NA,1950,1958,"Spring",4,17.50989906,1.581642505,11.65,6.78,8.89,0.58,1.61,0.26,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,76.4025974,87.52751347,154,3.40029922,NA,NA,NA,NA,NA,NA,17.58740044,17.58740044,"no",NA,9
"245",577,"LACM-M","58-2.3","McIntyre","Southern California Bight","Los Angeles","Off Shore","LA","Palos Verdes: South of","Los Angeles",NA,33.73,-118.4,"Anthropocene",NA,1950,1958,"Spring",4,17.50989906,1.581642505,12.72,7.72,9.91,0.61,1.79,0.25,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,76.4025974,87.52751347,154,3.40029922,NA,NA,NA,NA,NA,NA,17.58740044,17.58740044,"no",NA,9
"246",578,"LACM-M","58-2.3","McIntyre","Southern California Bight","Los Angeles","Off Shore","LA","Palos Verdes: South of","Los Angeles",NA,33.73,-118.4,"Anthropocene",NA,1950,1958,"Spring",4,17.50989906,1.581642505,15.62,8.8,11.72,0.56,1.95,0.34,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,76.4025974,87.52751347,154,3.40029922,NA,NA,NA,NA,NA,NA,17.58740044,17.58740044,"no",NA,9
"247",579,"LACM-M","58-2.3","McIntyre","Southern California Bight","Los Angeles","Off Shore","LA","Palos Verdes: South of","Los Angeles",NA,33.73,-118.4,"Anthropocene",NA,1950,1958,"Spring",4,17.50989906,1.581642505,16.55,9.44,12.5,0.57,2.2,0.31,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,76.4025974,87.52751347,154,3.40029922,NA,NA,NA,NA,NA,NA,17.58740044,17.58740044,"no",NA,9
"248",580,"LACM-M","58-2.3","McIntyre","Southern California Bight","Los Angeles","Off Shore","LA","Palos Verdes: South of","Los Angeles",NA,33.73,-118.4,"Anthropocene",NA,1950,1958,"Spring",4,17.50989906,1.581642505,15.21,8.95,11.67,0.59,2.29,0.32,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,76.4025974,87.52751347,154,3.40029922,NA,NA,NA,NA,NA,NA,17.58740044,17.58740044,"no",NA,9
"249",581,"LACM-M","58-2.3","McIntyre","Southern California Bight","Los Angeles","Off Shore","LA","Palos Verdes: South of","Los Angeles",NA,33.73,-118.4,"Anthropocene",NA,1950,1958,"Spring",4,17.50989906,1.581642505,16.57,9.74,12.7,0.59,2.55,0.3,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,76.4025974,87.52751347,154,3.40029922,NA,NA,NA,NA,NA,NA,17.58740044,17.58740044,"no",NA,9
"250",582,"LACM-M","58-2.3","McIntyre","Southern California Bight","Los Angeles","Off Shore","LA","Palos Verdes: South of","Los Angeles",NA,33.73,-118.4,"Anthropocene",NA,1950,1958,"Spring",4,17.50989906,1.581642505,18.4,10.69,14.02,0.58,2.65,0.38,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,76.4025974,87.52751347,154,3.40029922,NA,NA,NA,NA,NA,NA,17.58740044,17.58740044,"no",NA,9
"251",583,"LACM-M","58-2.3","McIntyre","Southern California Bight","Los Angeles","Off Shore","LA","Palos Verdes: South of","Los Angeles",NA,33.73,-118.4,"Anthropocene",NA,1950,1958,"Spring",4,17.50989906,1.581642505,19.39,11.39,14.86,0.59,2.66,0.44,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,76.4025974,87.52751347,154,3.40029922,NA,NA,NA,NA,NA,NA,17.58740044,17.58740044,"no",NA,9
"252",584,"LACM-M","58-2.3","McIntyre","Southern California Bight","Los Angeles","Off Shore","LA","Palos Verdes: South of","Los Angeles",NA,33.73,-118.4,"Anthropocene",NA,1950,1958,"Spring",4,17.50989906,1.581642505,21.06,12.09,15.96,0.57,2.85,0.38,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,76.4025974,87.52751347,154,3.40029922,NA,NA,NA,NA,NA,NA,17.58740044,17.58740044,"no",NA,9
"253",585,"LACM-M","58-82.5","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Los Angeles: Harbor Light","Los Angeles",NA,33.68,-118.26,"Anthropocene",NA,1950,1958,"Spring",5,17.50989906,1.581642505,21.83,12.66,16.62,0.58,2.87,0.51,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,3
"254",586,"LACM-M","58-82.5","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Los Angeles: Harbor Light","Los Angeles",NA,33.68,-118.26,"Anthropocene",NA,1950,1958,"Spring",5,17.50989906,1.581642505,22.55,12.96,17.1,0.58,3.25,0.58,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,3
"255",587,"LACM-M","58-82.5","VeleroIV","Southern California Bight","Los Angeles","Coastal","LA","Los Angeles: Harbor Light","Los Angeles",NA,33.68,-118.26,"Anthropocene",NA,1950,1958,"Spring",5,17.50989906,1.581642505,24.78,15.37,19.52,0.62,3.6,0.73,"sand","subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,3
"256",588,"LACM-M","66336","Crow","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1958,"Winter",1,17.50989906,1.581642505,12.65,7.35,9.64,0.58,1.76,0.27,NA,NA,0,0,0,0,0,0,0,0,0,0,53.31721195,56.48263558,703,3.769319445,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,6
"257",589,"LACM-M","66336","Crow","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1958,"Winter",1,17.50989906,1.581642505,13.63,7.87,10.36,0.58,1.86,0.31,NA,NA,0,0,0,0,0,0,0,0,0,0,53.31721195,56.48263558,703,3.769319445,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,6
"258",590,"LACM-M","66336","Crow","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1958,"Winter",1,17.50989906,1.581642505,18.01,10.94,14.04,0.61,2.39,0.43,NA,NA,0,0,0,0,0,0,1,0,0,0,53.31721195,56.48263558,703,3.769319445,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,6
"259",591,"LACM-M","66336","Crow","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1958,"Winter",1,17.50989906,1.581642505,17.94,10.67,13.84,0.6,2.53,0.44,NA,NA,0,1,0,0,1,1,0,0,0,0,53.31721195,56.48263558,703,3.769319445,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,6
"260",592,"LACM-M","66336","Crow","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1958,"Winter",1,17.50989906,1.581642505,19.69,11.81,15.25,0.6,2.7,0.64,NA,NA,0,0,0,0,0,0,0,0,0,0,53.31721195,56.48263558,703,3.769319445,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,6
"261",593,"LACM-M","66336","Crow","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.67,-118.25,"Anthropocene",NA,1950,1958,"Winter",1,17.50989906,1.581642505,23.02,14.13,18.04,0.61,2.77,0.64,NA,NA,0,0,0,0,0,1,1,0,0,0,53.31721195,56.48263558,703,3.769319445,NA,NA,NA,NA,NA,NA,0.289864987,0.289864987,"no",NA,6
"262",594,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,10.48,6.15,8.03,0.59,1.17,0.14,NA,NA,0,0,0,0,0,0,0,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,15
"263",595,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,10.13,5.63,7.55,0.56,1.17,0.29,NA,NA,0,0,0,0,0,0,0,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,15
"264",596,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,13.24,7.51,9.97,0.57,1.66,0.3,NA,NA,0,0,0,0,0,0,0,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,15
"265",597,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,12.07,7.13,9.28,0.59,1.69,0.23,NA,NA,0,0,0,0,0,0,1,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,15
"266",598,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,15.08,8.39,11.25,0.56,1.82,0.45,NA,NA,0,0,0,0,0,0,0,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,15
"267",599,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,14.63,8.75,11.31,0.6,1.88,0.32,NA,NA,0,0,0,1,0,0,0,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,15
"268",600,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,14.88,8.81,11.45,0.59,1.97,0.63,NA,NA,0,0,0,0,0,0,0,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,15
"269",601,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,16.54,9.58,12.59,0.58,2,0.48,NA,NA,0,0,0,0,0,0,0,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,15
"270",602,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,15.78,9.01,11.92,0.57,2.03,0.42,NA,NA,0,0,0,0,0,0,1,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,15
"271",603,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,15.26,8.79,11.58,0.58,2.05,0.38,NA,NA,0,0,0,0,1,0,1,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,15
"272",604,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,17.93,10.69,13.84,0.6,2.19,0.33,NA,NA,0,0,0,0,0,0,0,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,15
"273",605,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,17.08,9.55,12.77,0.56,2.27,0.3,NA,NA,0,0,0,0,0,0,1,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,15
"274",606,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,18.71,10.68,14.14,0.57,2.41,0.5,NA,NA,0,0,0,0,0,0,0,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,15
"275",607,"LACM-M","60-13.5","Oringer","Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,21.84,13.55,17.2,0.62,3.07,0.44,NA,NA,1,0,0,0,1,1,1,0,0,0,306.5589431,586.4115758,492,3.957748754,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,15
