"","Specimen_Number","Collection","Lot_Number","Collector","Ecoregion","County","Coastal_Proximity","Location","Site","SoCal_Group","Island_Size","Latitude","Longitude","Epoch","Formation","Decade","Year","Season","Month","Mean_SST","Mean_SST_Sdev","Length_mm","Width_mm","Geometric_Mean","Globosity_WoverL","Aperture_mm","Thickness_mm","Habitat","Depth","BRY","BAR","LMP","TWS","COR","ALG","SCR","BOR_TAP","BOR_STR","BOR_INC","mean_pvolc3","sd_pvolc3","zooplankton_n_points_used","zooplankton_mean_distance","fish_total_catch_wt_kg","fish_cpue_kg_per_ha_der","sd_total_catch_wt_kg","sd_cpue_kg_per_ha_der","fish_n_points_used","fish_mean_distance","Population_Density","Population_Density_NoBaja","MPA","Image_url"
"18",18,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,17.9,9.59,13.1,0.54,1.8,0.32,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA
"19",19,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,15.28,8.94,11.69,0.59,1.89,0.27,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA
"20",20,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,14.32,8.32,10.92,0.58,1.92,0.3,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA
"21",21,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,18,10.1,13.48,0.56,2.06,0.33,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA
"22",22,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,17.49,10.28,13.41,0.59,2.08,0.38,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA
"23",23,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,21.17,12.5,16.27,0.59,2.44,0.51,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA
"24",24,"ANSP","A469539","Stahl","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1976,"Winter",2,16.27545857,2.40464924,19.11,11.21,14.64,0.59,2.58,0.48,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA
"25",25,"ANSP","72518","Gaylord","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.92,"Anthropocene",NA,1980,1989,NA,NA,16.26013899,1.943248038,28.43,15.17,20.77,0.53,3.18,0.57,NA,NA,0,0,0,0,0,0,1,0,0,0,217.0272374,773.6440729,257,3.047932148,NA,NA,NA,NA,NA,NA,1722.869995,1722.869995,"no",NA
"26",26,"ANSP","72518","Gaylord","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.92,"Anthropocene",NA,1980,1989,NA,NA,16.26013899,1.943248038,27.64,15.54,20.72,0.56,3.25,0.68,NA,NA,0,0,0,0,0,0,1,0,0,0,217.0272374,773.6440729,257,3.047932148,NA,NA,NA,NA,NA,NA,1722.869995,1722.869995,"no",NA
"27",27,"ANSP","72518","Gaylord","Southern California Bight","Orange","Coastal","SLA","Newport: Balboa Bay","Los Angeles",NA,33.6,-117.92,"Anthropocene",NA,1980,1989,NA,NA,16.26013899,1.943248038,26.5,14.4,19.53,0.54,3.77,0.75,NA,NA,0,0,0,0,0,0,0,0,0,0,217.0272374,773.6440729,257,3.047932148,NA,NA,NA,NA,NA,NA,1722.869995,1722.869995,"no",NA
"28",31,"CAS","217548","McClure","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.71,-118.29,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,18.29,9.66,13.29,0.53,2.22,0.46,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"29",32,"CAS","217548","McClure","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.71,-118.29,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,25.8,14.08,19.06,0.55,3.12,0.75,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"30",33,"CAS","217548","McClure","Southern California Bight","Los Angeles","Coastal","LA","Point Fermin","Los Angeles",NA,33.71,-118.29,"Anthropocene",NA,1960,1960,"Summer",7,16.39862132,1.580005745,28.04,15.86,21.09,0.57,3.27,0.49,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"31",43,"CAS","217538","Coan","Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: West of Winfield Scott Wreck","National Park","Small",34.01,-119.39,"Anthropocene",NA,1960,1961,"Summer",7,15.6884896,1.569154659,11.91,7.92,9.71,0.67,1.33,0.43,NA,NA,0,0,0,0,0,0,0,0,0,0,142.3851852,138.037632,135,2.706871619,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"32",44,"CAS","217538","Coan","Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: West of Winfield Scott Wreck","National Park","Small",34.01,-119.39,"Anthropocene",NA,1960,1961,"Summer",7,15.6884896,1.569154659,16.87,9.98,12.98,0.59,1.85,0.46,NA,NA,0,0,0,0,0,0,0,0,0,0,142.3851852,138.037632,135,2.706871619,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"33",45,"CAS","217538","Coan","Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: West of Winfield Scott Wreck","National Park","Small",34.01,-119.39,"Anthropocene",NA,1960,1961,"Summer",7,15.6884896,1.569154659,19.9,11.33,15.02,0.57,2.17,0.32,NA,NA,0,0,0,0,0,0,0,0,0,0,142.3851852,138.037632,135,2.706871619,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"34",46,"CAS","217538","Coan","Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: West of Winfield Scott Wreck","National Park","Small",34.01,-119.39,"Anthropocene",NA,1960,1961,"Summer",7,15.6884896,1.569154659,19.88,10.81,14.66,0.54,2.86,0.32,NA,NA,0,0,0,0,0,0,0,0,0,0,142.3851852,138.037632,135,2.706871619,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"35",47,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,12.45,7.11,9.41,0.57,1.52,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,172.9068493,315.349731,365,3.693923335,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"36",48,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,10.16,6.35,8.03,0.63,1.78,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,172.9068493,315.349731,365,3.693923335,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"37",49,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,15.75,8.89,11.83,0.57,2.03,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,172.9068493,315.349731,365,3.693923335,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"38",50,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,10.92,6.86,8.66,0.63,2.03,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,172.9068493,315.349731,365,3.693923335,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"39",51,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,12.7,8.13,10.16,0.64,2.03,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,172.9068493,315.349731,365,3.693923335,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"40",52,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,19.05,10.67,14.26,0.56,2.29,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,172.9068493,315.349731,365,3.693923335,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"41",53,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,18.29,10.41,13.8,0.57,2.54,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,172.9068493,315.349731,365,3.693923335,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"42",54,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,15.24,9.4,11.97,0.62,3.05,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,172.9068493,315.349731,365,3.693923335,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"43",55,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,30.73,16.26,22.35,0.53,3.05,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,172.9068493,315.349731,365,3.693923335,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"44",56,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,19.05,11.43,14.76,0.6,3.05,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,172.9068493,315.349731,365,3.693923335,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"45",57,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,28.7,14.99,20.74,0.52,3.56,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,172.9068493,315.349731,365,3.693923335,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"46",58,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,22.61,12.19,16.6,0.54,3.56,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,172.9068493,315.349731,365,3.693923335,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"47",59,"CAS","217501","Newby","Southern California Bight","Orange","Coastal","SLA","Doheny Beach","Los Angeles",NA,33.46,-117.68,"Anthropocene",NA,1960,1963,NA,NA,17.17467523,2.267828277,26.67,15.24,20.16,0.57,3.81,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,172.9068493,315.349731,365,3.693923335,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"48",60,"CAS","Royal Ontario Museum",NA,"Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: Frenchy's cove","National Park","Small",34.01,-119.41,"Anthropocene",NA,1960,1964,"Spring",6,15.14683239,1.375549149,14.99,9.71,12.06,0.65,1.51,0.47,NA,NA,0,0,0,0,0,0,0,0,0,0,335.9570707,515.3501753,396,2.608852955,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"49",61,"CAS","Royal Ontario Museum",NA,"Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: Frenchy's cove","National Park","Small",34.01,-119.41,"Anthropocene",NA,1960,1964,"Spring",6,15.14683239,1.375549149,14.25,8.57,11.05,0.6,1.93,0.31,NA,NA,0,0,0,0,0,0,0,0,0,0,335.9570707,515.3501753,396,2.608852955,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"50",62,"CAS","Royal Ontario Museum",NA,"Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: Frenchy's cove","National Park","Small",34.01,-119.41,"Anthropocene",NA,1960,1964,"Spring",6,15.14683239,1.375549149,19.09,12.59,15.5,0.66,2.49,0.72,NA,NA,0,0,0,0,0,0,0,0,0,0,335.9570707,515.3501753,396,2.608852955,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"51",63,"CAS","JW","JW","Southern California Bight","Orange","Coastal","LA","Long Beach: Seal Beach","Los Angeles",NA,33.75,-118.12,"Anthropocene",NA,1960,1965,"Summer",8,16.46534284,1.973515681,16.24,8.17,11.52,0.5,2.14,0.26,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"52",64,"CAS","JW","JW","Southern California Bight","Orange","Coastal","LA","Long Beach: Seal Beach","Los Angeles",NA,33.75,-118.12,"Anthropocene",NA,1960,1965,"Summer",8,16.46534284,1.973515681,16.19,9.11,12.14,0.56,2.33,0.26,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"53",65,"CAS","JW","JW","Southern California Bight","Orange","Coastal","LA","Long Beach: Seal Beach","Los Angeles",NA,33.75,-118.12,"Anthropocene",NA,1960,1965,"Summer",8,16.46534284,1.973515681,20,11.16,14.94,0.56,2.6,0.29,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"54",68,"CAS","217549","Ferreira","Southern California Bight","Orange","Coastal","SLA","San Clemente Beach","Los Angeles",NA,33.42,-117.63,"Anthropocene",NA,1960,1969,"Winter",2,16.54435873,1.574657337,20.87,12.25,15.99,0.59,2.9,0.73,NA,NA,0,0,0,0,0,0,0,0,0,0,224.2242991,337.0574753,107,1.901950237,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"55",69,"CAS","217549","Ferreira","Southern California Bight","Orange","Coastal","SLA","San Clemente Beach","Los Angeles",NA,33.42,-117.63,"Anthropocene",NA,1960,1969,"Winter",2,16.54435873,1.574657337,30.02,18,23.25,0.6,2.9,0.98,NA,NA,0,0,0,0,0,0,0,0,0,0,224.2242991,337.0574753,107,1.901950237,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"56",70,"CAS","217549","Ferreira","Southern California Bight","Orange","Coastal","SLA","San Clemente Beach","Los Angeles",NA,33.42,-117.63,"Anthropocene",NA,1960,1969,"Winter",2,16.54435873,1.574657337,26.2,14.83,19.71,0.57,4.3,0.4,NA,NA,0,0,0,0,0,0,0,0,0,0,224.2242991,337.0574753,107,1.901950237,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA
"57",71,"CAS","217494","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,NA,NA,15.35423867,2.342125641,13.46,8.13,10.46,0.6,1.52,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA
"58",72,"CAS","217494","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,NA,NA,15.35423867,2.342125641,12.45,7.87,9.9,0.63,1.52,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA
"59",73,"CAS","217494","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,NA,NA,15.35423867,2.342125641,13.72,8.89,11.04,0.65,1.78,0.51,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA
"60",74,"CAS","217494","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,"Summer",8,15.35423867,2.342125641,17.78,10.41,13.6,0.59,2.03,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA
"61",75,"CAS","217494","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,NA,NA,15.35423867,2.342125641,15.49,9.65,12.23,0.62,2.03,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA
"62",76,"CAS","217494","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,"Summer",8,15.35423867,2.342125641,18.54,11.43,14.56,0.62,2.03,1.02,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA
"63",77,"CAS","217494","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,NA,NA,15.35423867,2.342125641,15.49,9.91,12.39,0.64,2.29,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA
"64",78,"CAS","217493","Wicksten","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Avalon","CAT","Large",33.35,-118.32,"Anthropocene",NA,1970,1971,NA,NA,15.35423867,2.342125641,9.91,6.1,7.78,0.62,1.27,0.25,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.46009827,58.46009827,"no",NA
