Specimen_Number,Collection,Lot_Number,Collector,Ecoregion,County,Location,Site,Land_Category,Island_Size,SoCal_Group,MPA,Latitude,Longitude,Mean_SST,Mean_SST_Sdev,Year,Season,Month,Epoch,Formation,Length_mm,Width_mm,Globosity_WoverL,Aperture_mm,Thickness_mm,Habitat,Depth,BRY,BAR,LMP,TWS,COR,ALG,SCR,BOR_TAP,BOR_STR,BOR_INC,Image_url
130,CAS,217539,KofoidRaymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.71,-118.29,16.00703629,1.659065137,1901,,,Holocene,,27.82,15.68,0.56,2.97,0.54,sand,deep,0,0,0,0,0,0,0,0,0,0,
131,CAS,217539,KofoidRaymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.71,-118.29,16.00703629,1.659065137,1901,,,Holocene,,24.01,14.24,0.59,3.04,0.42,sand,deep,0,0,0,0,0,0,0,0,0,0,
132,CAS,217539,KofoidRaymond,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.71,-118.29,16.00703629,1.659065137,1901,,,Holocene,,27.82,15.17,0.55,3.17,0.42,sand,deep,0,0,0,0,0,0,0,0,0,0,
138,CAS,217509,Smith,Southern California Bight,Los Angeles,LA,Long Beach: South of ,Coastal,,Los Angeles,no,33.71,-118.22,16.00703629,1.659065137,1901,,,Holocene,,12.19,6.6,0.54,1.52,0.25,algae forest,subtidal,0,0,0,0,0,0,0,0,0,0,
139,CAS,217509,Smith,Southern California Bight,Los Angeles,LA,Long Beach: South of ,Coastal,,Los Angeles,no,33.71,-118.22,16.00703629,1.659065137,1901,,,Holocene,,10.16,5.59,0.55,1.52,0.25,algae forest,subtidal,0,0,0,0,0,0,0,0,0,0,
140,CAS,217509,Smith,Southern California Bight,Los Angeles,LA,Long Beach: South of ,Coastal,,Los Angeles,no,33.71,-118.22,16.00703629,1.659065137,1901,,,Holocene,,23.62,13.46,0.57,2.79,0.51,algae forest,subtidal,0,0,0,0,0,0,0,0,0,0,
133,CAS,217514,Smith,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.73,-118.26,16.00703629,1.659065137,1901,,,Holocene,,19.3,11.18,0.58,2.29,0.25,algae forest,subtidal,0,0,0,0,0,0,0,0,0,0,
134,CAS,217514,Smith,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.73,-118.26,16.00703629,1.659065137,1901,,,Holocene,,18.54,10.41,0.56,2.54,0.25,algae forest,subtidal,0,0,0,0,0,0,0,0,0,0,
135,CAS,217514,Smith,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.73,-118.26,16.00703629,1.659065137,1901,,,Holocene,,19.56,11.43,0.58,2.79,0.25,algae forest,subtidal,0,0,0,0,0,0,0,0,0,0,
136,CAS,217514,Smith,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.73,-118.26,16.00703629,1.659065137,1901,,,Holocene,,21.34,13.46,0.63,3.05,0.51,algae forest,subtidal,0,0,0,0,0,0,0,0,0,0,
137,CAS,217514,Smith,Southern California Bight,Los Angeles,LA,Point Fermin,Coastal,,Los Angeles,no,33.73,-118.26,16.00703629,1.659065137,1901,,,Holocene,,29.97,15.49,0.52,3.3,0.51,algae forest,subtidal,0,0,0,0,0,0,0,0,0,0,
144,CAS,217513,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,16.76,9.14,0.55,2.29,0.51,sand,deep,0,0,0,0,0,0,0,0,0,0,
145,CAS,217513,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,21.59,12.19,0.57,2.79,0.51,sand,deep,0,0,0,0,0,0,0,0,0,0,
146,CAS,217513,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,22.86,13.72,0.6,3.56,0.51,sand,deep,0,0,0,0,0,0,0,0,0,0,
147,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,6.1,3.81,0.63,0.76,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
148,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,6.6,3.56,0.54,1.02,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
149,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,7.87,4.32,0.55,1.02,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
150,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,7.87,4.32,0.55,1.02,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
151,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,6.86,3.81,0.56,1.02,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
152,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,8.38,3.81,0.46,1.27,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
153,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,10.92,5.59,0.51,1.27,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
154,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,9.65,5.33,0.55,1.27,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
155,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,9.14,5.08,0.56,1.27,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
156,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,9.4,5.33,0.57,1.27,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
157,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,8.38,4.83,0.58,1.27,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
158,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,9.65,4.83,0.5,1.52,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
159,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,11.68,5.84,0.5,1.52,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
160,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,9.65,5.08,0.53,1.52,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
161,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,10.67,5.84,0.55,1.52,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
162,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,10.67,6.1,0.57,1.52,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
163,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,7.87,4.57,0.58,1.52,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
164,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,9.14,5.33,0.58,1.52,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
165,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,10.67,6.35,0.6,1.52,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
166,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,10.92,6.1,0.56,1.52,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
167,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,10.92,5.84,0.54,1.78,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
168,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,10.92,6.1,0.56,1.78,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
169,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,9.65,5.59,0.58,1.78,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
170,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,9.4,5.33,0.57,1.78,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
171,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,13.21,7.11,0.54,2.03,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
172,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,13.72,7.87,0.57,2.03,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
173,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,13.21,6.86,0.52,2.29,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
174,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,16.26,9.65,0.59,2.54,0.25,,deep,0,0,0,0,0,0,0,0,0,0,
175,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,15.49,8.64,0.56,2.54,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
176,CAS,217505,Smith,Southern California Bight,Baja California,SBC,Baja California: Off of Bahia Tortugas,Open,,,no,26.43,-117.25,18.80197207,1.692779385,1901,,,Holocene,,15.49,8.89,0.57,2.79,0.51,,deep,0,0,0,0,0,0,0,0,0,0,
177,CAS,217528,Smith,Southern California Bight,San Diego,SD,South Point Loma,Coastal,,San Diego,no,32.62,-117.25,16.31952929,1.697320698,1901,Summer,7,Holocene,,24.27,13.57,0.56,3.18,0.41,sand,subtidal,0,0,0,0,0,0,0,0,0,0,
178,CAS,217528,Smith,Southern California Bight,San Diego,SD,South Point Loma,Coastal,,San Diego,no,32.62,-117.25,16.31952929,1.697320698,1901,Summer,7,Holocene,,22.83,13.07,0.57,3.26,0.31,sand,subtidal,0,0,0,0,0,0,0,0,0,0,
179,CAS,217528,Smith,Southern California Bight,San Diego,SD,South Point Loma,Coastal,,San Diego,no,32.62,-117.25,16.31952929,1.697320698,1901,Summer,7,Holocene,,22.22,13.2,0.59,3.38,0.34,sand,subtidal,0,0,0,0,0,0,0,0,0,0,
180,CAS,217528,Smith,Southern California Bight,San Diego,SD,South Point Loma,Coastal,,San Diego,no,32.62,-117.25,16.31952929,1.697320698,1901,Summer,7,Holocene,,24.79,14.54,0.59,3.59,0.56,sand,subtidal,0,0,0,0,0,0,0,0,0,0,
181,CAS,217528,Smith,Southern California Bight,San Diego,SD,South Point Loma,Coastal,,San Diego,no,32.62,-117.25,16.31952929,1.697320698,1901,Summer,7,Holocene,,29.87,17.58,0.59,3.61,0.59,sand,subtidal,0,0,0,0,0,0,0,0,0,0,
182,CAS,217528,Smith,Southern California Bight,San Diego,SD,South Point Loma,Coastal,,San Diego,no,32.62,-117.25,16.31952929,1.697320698,1901,Summer,7,Holocene,,25.25,15.12,0.6,4.19,0.36,sand,subtidal,0,0,0,0,0,0,0,0,0,0,
141,CAS,217540,KofoidRaymond,Southern California Bight,Orange,SLA,Newport: Balboa Bay,Coastal,,Los Angeles,no,33.6,-117.9,16.20242214,1.719347781,1901,,,Holocene,,22.73,11.52,0.51,2.68,0.26,sand,deep,0,0,0,0,0,0,0,0,0,0,
142,CAS,217540,KofoidRaymond,Southern California Bight,Orange,SLA,Newport: Balboa Bay,Coastal,,Los Angeles,no,33.6,-117.9,16.20242214,1.719347781,1901,,,Holocene,,24.48,14.31,0.59,2.87,0.23,sand,deep,0,0,0,0,0,0,0,0,0,0,
143,CAS,217540,KofoidRaymond,Southern California Bight,Orange,SLA,Newport: Balboa Bay,Coastal,,Los Angeles,no,33.6,-117.9,16.20242214,1.719347781,1901,,,Holocene,,37.96,20.06,0.53,5.13,0.64,sand,deep,0,0,0,0,0,0,0,0,0,0,
2908,SBNHM,100023,Berry,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Avalon,Island,Large,CAT,no,33.35,-118.32,15.69128593,1.663644605,1903,,,Holocene,,19.73,10.56,0.54,2.38,0.62,,,0,0,0,0,0,0,0,0,0,0,
2909,SBNHM,100023,Berry,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Avalon,Island,Large,CAT,no,33.35,-118.32,15.69128593,1.663644605,1903,,,Holocene,,22.69,11.73,0.52,2.49,0.52,,,0,0,0,0,0,0,0,0,0,0,
2910,SBNHM,100023,Berry,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Avalon,Island,Large,CAT,no,33.35,-118.32,15.69128593,1.663644605,1903,,,Holocene,,20.24,11.5,0.57,2.51,0.6,,,0,0,0,0,0,0,0,0,0,0,
2911,SBNHM,100023,Berry,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Avalon,Island,Large,CAT,no,33.35,-118.32,15.69128593,1.663644605,1903,,,Holocene,,23.16,13.41,0.58,2.6,0.64,,,0,0,0,0,0,0,0,0,0,0,
2912,SBNHM,100023,Berry,Southern California Bight,Los Angeles,CAT,Santa Catalina Island: Avalon,Island,Large,CAT,no,33.35,-118.32,15.69128593,1.663644605,1903,,,Holocene,,20.74,10.62,0.51,2.61,0.55,,,0,0,0,0,0,0,0,0,0,0,
