"Lot_Number","observation_date","Latitude","Longitude","observation_type_0dead","Globosity_WoverL_iNat","Collection","Ecoregion","County","Year","Month","Season","Globosity_WoverL_Raw","Difference","Abs_Difference","Within_1SD","Status"
2624986,"1/23/16","33.014922","-117.281573",0,0.566666666666667,"iNat","Southern California Bight","San Diego",2016,1,"Winter",0.58,-0.0133333333333333,0.0133333333333333,TRUE,"Match"
13542258,"6/16/18","33.70975651","-118.2990066",0,0.592920353982301,"iNat","Southern California Bight","Los Angeles",2018,6,"Spring",0.58,0.012920353982301,0.012920353982301,TRUE,"Match"
9024843,"12/2/17","33.73819162","-118.3753277",1,0.527210884353742,"iNat","Southern California Bight","Los Angeles",2017,12,"Fall",0.54,-0.0127891156462585,0.0127891156462585,TRUE,"Match"
2591768,"1/16/16","32.559359","-117.131239",0,0.538167938931298,"iNat","Southern California Bight","San Diego",2016,1,"Winter",0.55,-0.0118320610687024,0.0118320610687024,TRUE,"Match"
5780887,"4/16/17","34.04455663","-118.9327741",0,0.608571428571429,"iNat","Southern California Bight","Los Angeles",2017,4,"Spring",0.62,-0.0114285714285715,0.0114285714285715,TRUE,"Match"
5860,"2/28/10","34.43410492","-119.9497299",1,0.51875,"iNat","Northern California","Santa Barbara",2010,2,"Winter",0.53,-0.01125,0.01125,TRUE,"Match"
684619,"5/18/14","35.445574","-120.946388",1,0.580952380952381,"iNat","Northern California","San Luis Obispo",2014,5,"Spring",0.57,0.010952380952381,0.010952380952381,TRUE,"Match"
8705251,"11/5/17","36.62716","-121.940215",1,0.56078431372549,"iNat","Northern California","Monterey",2017,11,"Fall",0.55,0.0107843137254902,0.0107843137254902,TRUE,"Match"
3404390,"6/7/16","37.18269722","-122.3885472",1,0.540740740740741,"iNat","Northern California","San Mateo",2016,6,"Spring",0.53,0.0107407407407407,0.0107407407407407,TRUE,"Match"
10307939,"2/28/17","32.84808185","-117.2771645",1,0.55982905982906,"iNat","Southern California Bight","San Diego",2017,2,"Winter",0.57,-0.0101709401709401,0.0101709401709401,TRUE,"Match"
2625635,"1/23/16","33.015261","-117.281548",0,0.61003861003861,"iNat","Southern California Bight","San Diego",2016,1,"Winter",0.62,-0.00996138996138995,0.00996138996138995,TRUE,"Match"
13602680,"6/19/18","34.0445599","-118.9330826",1,0.570149253731343,"iNat","Southern California Bight","Los Angeles",2018,6,"Spring",0.58,-0.00985074626865667,0.00985074626865667,TRUE,"Match"
6848935,"6/29/17","33.54302248","-117.7924397",1,0.559701492537313,"iNat","Southern California Bight","Orange",2017,6,"Spring",0.55,0.00970149253731334,0.00970149253731334,TRUE,"Match"
5179759,"2/25/17","32.87174681","-117.2530903",NA,0.559405940594059,"iNat","Southern California Bight","San Diego",2017,2,"Winter",0.55,0.00940594059405941,0.00940594059405941,TRUE,"Match"
9491883,"1/15/18","34.43406167","-119.9493633",0,0.588652482269504,"iNat","Northern California","Santa Barbara",2018,1,"Winter",0.58,0.00865248226950355,0.00865248226950355,TRUE,"Match"
13437198,"6/14/18","32.84332778","-117.2811",0,0.56140350877193,"iNat","Southern California Bight","San Diego",2018,6,"Spring",0.57,-0.00859649122807016,0.00859649122807016,TRUE,"Match"
13533491,"6/17/18","37.18482667","-122.39708",1,0.601476014760148,"iNat","Northern California","San Mateo",2018,6,"Spring",0.61,-0.00852398523985243,0.00852398523985243,TRUE,"Match"
11692382,"4/28/18","34.03157604","-118.6800382",0,0.572164948453608,"iNat","Southern California Bight","Los Angeles",2018,4,"Spring",0.58,-0.00783505154639175,0.00783505154639175,TRUE,"Match"
10341412,"3/20/18","32.86463683","-117.2640589",0,0.597826086956522,"iNat","Southern California Bight","San Diego",2018,3,"Winter",0.59,0.00782608695652176,0.00782608695652176,TRUE,"Match"
4766854,"12/12/16","34.00611226","-118.8006324",1,0.577540106951872,"iNat","Southern California Bight","Los Angeles",2016,12,"Fall",0.57,0.00754010695187168,0.00754010695187168,TRUE,"Match"
5562081,"2/25/17","32.814149","-117.273908",1,0.562814070351759,"iNat","Southern California Bight","San Diego",2017,2,"Winter",0.57,-0.00718592964824116,0.00718592964824116,TRUE,"Match"
2625614,"1/23/16","33.017141","-117.283078",0,0.607142857142857,"iNat","Southern California Bight","San Diego",2016,1,"Winter",0.6,0.00714285714285712,0.00714285714285712,TRUE,"Match"
3414058,"6/8/16","33.74076781","-118.4037484",1,0.607017543859649,"iNat","Southern California Bight","Los Angeles",2016,6,"Spring",0.6,0.00701754385964914,0.00701754385964914,TRUE,"Match"
13526246,"6/17/18","35.53402","-121.0866695",1,0.515981735159817,"iNat","Northern California","San Luis Obispo",2018,6,"Spring",0.51,0.00598173515981737,0.00598173515981737,TRUE,"Match"
9348073,"12/30/17","35.92147518","-121.4716977",0,0.605177993527508,"iNat","Northern California","Monterey",2017,12,"Fall",0.6,0.00517799352750814,0.00517799352750814,TRUE,"Match"
9193692,"12/17/17","33.57985383","-117.8537466",0,0.625,"iNat","Southern California Bight","Orange",2017,12,"Fall",0.63,-0.005,0.005,TRUE,"Match"
9699065,"1/31/18","33.14582049","-117.3433533",NA,0.525,"iNat","Southern California Bight","San Diego",2018,2,"Winter",0.52,0.005,0.005,TRUE,"Match"
7182446,"7/23/17","32.76092101","-117.246604",NA,0.565079365079365,"iNat","Southern California Bight","San Diego",2017,7,"Summer",0.57,-0.00492063492063488,0.00492063492063488,TRUE,"Match"
9026065,"12/2/17","33.71534167","-118.3192317",1,0.514492753623188,"iNat","Southern California Bight","Los Angeles",2017,12,"Fall",0.51,0.00449275362318835,0.00449275362318835,TRUE,"Match"
4442147,"10/26/16","34.03160229","-118.6804104",0,0.535911602209945,"iNat","Southern California Bight","Los Angeles",2016,10,"Fall",0.54,-0.00408839779005532,0.00408839779005532,TRUE,"Match"
4767051,"12/12/16","34.00305268","-118.8048112",0,0.593023255813954,"iNat","Southern California Bight","Los Angeles",2016,12,"Fall",0.59,0.00302325581395357,0.00302325581395357,TRUE,"Match"
4935041,"1/11/17","34.04440994","-118.9331388",0,0.55700325732899,"iNat","Southern California Bight","Los Angeles",2017,1,"Winter",0.56,-0.0029967426710098,0.0029967426710098,TRUE,"Match"
13530671,"6/17/18","37.24731111","-122.4196833",1,0.567164179104478,"iNat","Northern California","San Mateo",2018,6,"Spring",0.57,-0.00283582089552237,0.00283582089552237,TRUE,"Match"
4978406,"1/14/17","32.77182667","-117.2377883",0,0.57243816254417,"iNat","Southern California Bight","San Diego",2017,1,"Winter",0.57,0.00243816254416962,0.00243816254416962,TRUE,"Match"
11908065,"4/28/18","32.66891858","-117.2449565",0,0.538135593220339,"iNat","Southern California Bight","San Diego",2018,4,"Spring",0.54,-0.00186440677966104,0.00186440677966104,TRUE,"Match"
11720357,"4/28/18","33.70686593","-118.2860827",0,0.568181818181818,"iNat","Southern California Bight","Los Angeles",2018,4,"Spring",0.57,-0.00181818181818172,0.00181818181818172,TRUE,"Match"
2874546,"4/3/16","33.70951591","-118.2989444",0,0.588235294117647,"iNat","Southern California Bight","Los Angeles",2016,4,"Spring",0.59,-0.00176470588235289,0.00176470588235289,TRUE,"Match"
13571967,"6/18/18","33.74063658","-118.4036091",1,0.571428571428571,"iNat","Southern California Bight","Los Angeles",2018,6,"Spring",0.57,0.00142857142857145,0.00142857142857145,TRUE,"Match"
6818108,"6/26/17","34.37489551","-119.479816",0,0.651282051282051,"iNat","Southern California Bight","Santa Barbara",2017,6,"Spring",0.65,0.00128205128205128,0.00128205128205128,TRUE,"Match"
7872216,"9/10/17","33.01633176","-117.2812014",0,0.560975609756098,"iNat","Southern California Bight","San Diego",2017,9,"Summer",0.56,0.000975609756097562,0.000975609756097562,TRUE,"Match"
6033777,"4/30/17","32.81421018","-117.2740404",1,0.520833333333333,"iNat","Southern California Bight","San Diego",2017,4,"Spring",0.52,0.000833333333333353,0.000833333333333353,TRUE,"Match"
3414773,"6/8/16","33.74055833","-118.403525",1,0.539170506912442,"iNat","Southern California Bight","Los Angeles",2016,6,"Spring",0.54,-0.000829493087557642,0.000829493087557642,TRUE,"Match"
7256433,"7/28/17","34.37331928","-119.4794297",1,0.5,"iNat","Southern California Bight","Santa Barbara",2017,7,"Summer",0.5,0,0,TRUE,"Match"
