"Specimen_Number","Collection","Lot_Number","Collector","Ecoregion","County","Coastal_Proximity","Location","Site","SoCal_Group","Island_Size","Latitude","Longitude","Epoch","Formation","Decade","Year","Season","Month","Mean_SST","Mean_SST_Sdev","Length_mm","Width_mm","Geometric_Mean","Globosity_WoverL","Aperture_mm","Thickness_mm","Habitat","Depth","BRY","BAR","LMP","TWS","COR","ALG","SCR","BOR_TAP","BOR_STR","BOR_INC","mean_pvolc3","sd_pvolc3","zooplankton_n_points_used","zooplankton_mean_distance","fish_total_catch_wt_kg","fish_cpue_kg_per_ha_der","sd_total_catch_wt_kg","sd_cpue_kg_per_ha_der","fish_n_points_used","fish_mean_distance","Population_Density","Population_Density_NoBaja","MPA","Image_url","Data_Type"
825,"LACM-M","69-31.5","McLean","Southern California Bight","Los Angeles","Off Shore","CAT","Santa Catalina Island: Ironbound Bay","CAT","Large",33.45,-118.58,"Anthropocene",NA,1960,1969,"Summer",8,16.28703705,1.464510707,10.45,6.11,7.99058821364235,0.584688995215311,1.53,0.15,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
2855,"SBNHM","152367","Phillips","Southern California Bight","Los Angeles","Coastal","LA","White Point","Los Angeles",NA,33.71,-118.32,"Anthropocene",NA,1970,1972,"Winter",2,15.98141,2.347269,16.92,9.9,12.9424881688182,0.585106382978723,1.91,0.53,"rocky reef or intertidal",NA,0,0,0,0,0,0,1,0,0,0,375,485.4235,6,1.498833,NA,NA,NA,NA,NA,NA,1708.349976,1708.349976,"no",NA,"Museum/Field"
2513,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,20,10.5,14.4913767461894,0.525,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
61,"CAS","Royal Ontario Museum",NA,"Southern California Bight","Ventura","Off Shore","ANA","Ancapa Island: Frenchy's cove","National Park","Small",34.01,-119.41,"Anthropocene",NA,1960,1964,"Spring",6,15.14683239,1.375549149,14.25,8.57,11.0509049403205,0.60140350877193,1.93,0.31,NA,NA,0,0,0,0,0,0,0,0,0,0,335.9570707,515.3501753,396,2.608852955,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
810,"LACM-M","69-14.3","McLean","Northern California","Ventura","Off Shore","SNI","San Nicolas Island: South of ","SNI","Medium",33.22,-119.54,"Anthropocene",NA,1960,1969,"Spring",6,15.64799444,1.429898884,16.02,9.55,12.3689530680652,0.596129837702871,2.34,0.28,"rocky reef or intertidal","subtidal",1,0,0,0,0,0,0,0,0,0,165.5233161,183.6239384,193,2.383623143,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,"Museum/Field"
302,"CAS","163404","Burch","Southern California Bight","Los Angeles","Coastal","LA","Redondo Beach","Los Angeles",NA,33.84,-118.39,"Holocene",NA,1940,1940,NA,NA,16.74628806,1.192287243,12.33,7.4,9.55206783895508,0.600162206001622,1.9,0.35,"sand","deep",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272.04599,272.04599,"no",NA,"Museum/Field"
2565,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,17,9,12.369316876853,0.529411764705882,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
276,"CAS","217530","Clarke","Northern California","San Luis Obispo","Coastal","MB","Morro Bay",NA,NA,35.34,-120.83,"Holocene",NA,1930,1938,NA,NA,15.09150664,1.624193165,25.4,14.48,19.177903952205,0.57007874015748,2.79,0.76,NA,"intertidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.97867012,6.97867012,"no",NA,"Museum/Field"
2353,"PR","Diurnal Study","Ul-Hasan","Southern California Bight","San Diego","Coastal","SD","San Diego: Mission Bay","San Diego",NA,32.76,-117.25,"Anthropocene",NA,2010,2017,"Spring",5,17.92041636,2.114710079,17,10,13.0384048104053,0.588235294117647,NA,NA,"sand","intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.75,195.9400418,16,1.067754653,NA,NA,NA,NA,0,NA,1790.209961,1790.209961,"no",NA,"Museum/Field"
1082,"LACM-M","54899",NA,"Southern California Bight","Los Angeles","Coastal","LA","Palos Verdes: Lunada Bay","Los Angeles",NA,33.77,-118.43,"Holocene",NA,1920,1924,"Spring",5,15.13737194,1.351888291,27.9,15.25,20.627045353128,0.546594982078853,4.27,0.62,NA,"subtidal",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.06489944,52.06489944,"no",NA,"Museum/Field"
2248,"PR","pilot_winter","Ul-Hasan","Southern California Bight","Baja California","Coastal","NBC","Puerto Nuevo: Minor Outlet",NA,NA,32.25,-116.95,"Anthropocene",NA,2010,2016,"Fall",12,17.97017272,1.879419419,17.5,10.5,13.555441711726,0.6,2,0.3,"rocky reef or intertidal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.3333333,168.2613513,36,0.61263272,NA,NA,NA,NA,0,NA,1258.630005,NA,"no",NA,"Museum/Field"
